id,identificacao,objeto,data_publicacao,data_abertura,local,telefone,email,processo,vencedores,responsavel,valor,modalidade,documentos,classificados,desclassificados
7132,PREGÃO ELETRÔNICO Nº 000066/2016 PROCESSO 005381/2016,"AQUISIÇÃO DE 01 (UM) CAMINHÃO 0 KM PARA ATENDIMENTO AO CONVÊNIO Nº 808654/2014/MAPA/CAIXA QUE CELEBRAM A UNIÃO FEDERAL POR INTERMÉDIO DO MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO, OBJETIVANDO A EXECUÇÃO DE AÇÕES RELATIVAS AO PROGRAMA DE APOIO AO DESENVOLVIMENTO DO SETOR AGROPECUÁRIO",2016-05-09,2016-05-09,PM Santa Teresa,,,1,,,"0,00",PREGÃO PRESENCIAL,,,
6998,PREGÃO PRESENCIAL Nº 000060/2016 PROCESSO 000638/2016,"AQUISIÇÃO DE LANCHES, DESTINADOS A SECRETARIA MUNICIPAL DE ASSISTÊNCIA SOCIAL E REFEIÇÕES DESTINADAS AOS PROFISSIONAIS DO MAGISTÉRIO E DEMAIS SERVIDORES LIGADOS A SECRETARIA MUNICIPAL DE EDUCAÇÃO",2016-04-18,2016-04-18,PM Santa Teresa,,,1,,,"0,00",PREGÃO PRESENCIAL,,,
6856,PREGÃO PRESENCIAL Nº 000050/2016 PROCESSO 002945/2016,AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS DESTINADOS AO 13º CAMINHO DO IMIGRANTE E A ALIMENTAÇÃO ESCOLAR,2016-04-04,2016-04-04,PM Santa Teresa,,,1,,,"0,00",PREGÃO PRESENCIAL,,,
6714,PREGÃO PRESENCIAL Nº 000030/2016 PROCESSO 001346/2016,"CONTRATAÇÃO DO SERVIÇO DE CONFECÇÃO DE BLOCO DE PRODUTOR RURAL DESTINADO A SECRETARIA MUNICIPAL DA FAZENDA.
",2016-03-10,2016-03-10,PM Santa Teresa,,,1,,,"0,00",PREGÃO PRESENCIAL,,,
6706,PREGÃO PRESENCIAL Nº 000020/2016 PROCESSO 000454/2016,"CONTRATAÇÃO DOS SERVIÇOS DE LOCUÇÃO PARA EVENTOS, DURANTE O EXERCÍCIO DE 2016",2016-03-09,2016-03-09,PM Santa Teresa,,,1,,,"0,00",PREGÃO PRESENCIAL,,,
6668,PREGÃO PRESENCIAL Nº 000028/2016 PROCESSO /2015,"CONTRATAÇÃO DOS SERVIÇOS GRÁFICOS ESPECÍFICOS DO SETOR DE VIGILÂNCIA EM SAÚDE, PARA O EXERCÍCIO DE 2016.",2016-03-01,2016-03-01,PM Santa Teresa,,,1,,,"0,00",PREGÃO PRESENCIAL,,,
6669,PREGÃO PRESENCIAL Nº 000019/2016 PROCESSO 000825/2016,"Contratação de empresa para prestação de serviços de reforma de bancos, incluindo o fornecimento das peças/materiais necessários, a serem executados nos veículos tipo ônibus, placas: MRB-6034 e MQX- 7148, que atendem ao transporte escolar.",2016-03-01,2016-03-01,PM Santa Teresa,,,1,,,"0,00",PREGÃO PRESENCIAL,,,
6550,PREGÃO PRESENCIAL Nº 000151/2015,"CONTRATAÇÃO DOS SERVIÇOS DE LAVAGEM DE VEÍCULOS, CAMINHÕES, MÁQUINAS PESADAS E MOTOCICLETAS PERTENCENTES A PREFEITURA MUNICIPAL DE SANTA TERESA.",2016-02-11,2016-02-11,PM Santa Teresa,,,1,,,"0,00",PREGÃO PRESENCIAL,,,
7184,PREGÃO PRESENCIAL 025/2018,Aquisição de lanches destinados ao acesso as trabalho da secretaria municipal de assistência social para 2018,2017-12-15,2018-03-20,,,,,,,,PREGÃO PRESENCIAL,,,
7187,TOMADA DE PREÇOS 009/2017 - Levantamento Topográfico,"Contratação de empresa especializada para prestação de serviços de engenharia, objetivando o levantamento topográfico em diversas áreas do município de santa teresa, com fins de desenvolver projetos para captação de recursos e também fins cadastrais diversos, em atendimento à secretaria municipal de obras e infraestrutura",2017-04-10,2018-03-14,,,,,,,,TOMADA DE PREÇO,,,
