V1;V2;V3;V4
5.3.1.1.1.01.00;  RP NAO PROCESSADOS A LIQUIDAR INSC    ;  112.530.327.185,70 ;D
5.3.1.1.1.02.00;  RP NAO PROCESSADOS EM LIQUIDACAO I    ;    7.602.479.645,99 ;D
5.3.1.2.1.00.00;  REINSCRICAO RPNP A LIQUIDAR/BLOQUE    ;   38.283.378.015,88 ;D
5.3.1.2.2.00.00;  REINSCRICAO RP NAO PROCESSADO EM L    ;      396.348.933,52 ;D
5.3.1.6.1.00.00;  RPNP A LIQUIDAR RECEBIDO POR TRANS    ;      185.881.742,31 ;D
5.3.1.6.2.00.00;  RPNP A LIQ EM LIQ RECEBIDO POR TRA    ;          161.648,35 ;D
5.3.1.6.3.00.00;  RPNP LIQ A PAGAR RECEBIDOS POR TRA    ;            8.670,42 ;D
5.3.2.1.0.00.00;  RP PROCESSADOS - INSCRITOS            ;   67.267.509.285,40 ;D
5.3.2.2.0.00.00;  RP PROCESSADOS - EXERCICIOS ANTERI    ;    8.647.009.447,35 ;D
5.3.2.6.0.00.00;  RP PROCESSADOS RECEBIDOS POR TRANS    ;          868.324,50 ;D
6.1.1.8.1.00.00;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                0,00 ; 
6.1.1.8.2.00.00;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                0,00 ; 
6.1.2.2.1.00.00;  PROJETO INICIAL DA LOA - FIXACAO D    ;4.619.672.809.540,00 ;C
6.1.2.8.1.00.00;  VARIACAO CAMBIAL POSITIVA AJUST CT    ;                0,00 ; 
6.1.2.8.2.00.00;  VARIACAO CAMBIAL NEGATIVA AJUST CT    ;                0,00 ; 
6.2.1.1.0.00.00;  RECEITA A REALIZAR                    ;3.297.857.379.711,45 ;C
6.2.1.2.0.00.00;  RECEITA REALIZADA                     ;1.455.729.421.690,79 ;C
6.2.1.3.1.00.00;  RESTITUICOES                          ;    9.233.972.445,70 ;D
6.2.1.3.2.00.00;  RETIFICACOES                          ;   11.741.468.403,46 ;D
6.2.1.3.3.00.00;  COMPENSACOES                          ;    1.799.556.235,60 ;D
